temperature,pressure,humidity,VoC,approx CO2,approx. alt
27.65,1013.08,60.56,62.67,416.9,1.33
27.5,1013.09,60.77,56.4,424.9,1.33
28.94,1013.12,57.95,65.22,416.88,1
30.02,1013.12,52.17,56.83,427.26,1
30.99,1013.12,50.08,54.17,430.7,1.17
31.64,1013.1,48.86,52.9,432.37,1.33
31.93,1013.09,48.55,52.43,432.99,1.33
32.18,1013.09,48.04,52.66,432.68,1.33
32.31,1013.09,47.79,52.47,432.94,1.42
32.36,1013.09,47.72,52.76,432.55,1.33
32.37,1013.11,47.47,52.97,432.28,1.17
32.37,1013.12,47.58,52.8,432.5,1.17
32.32,1013.12,47.64,53.07,432.15,1.08
32.34,1013.12,47.62,53.2,431.97,1
32.36,1013.14,47.55,53.51,431.57,0.92
32.38,1013.15,47.32,53.82,431.16,0.83
32.4,1013.16,47.39,53.96,430.98,0.67
32.41,1013.18,47.14,54.2,430.66,0.5
32.46,1013.19,47.03,54.42,430.38,0.5
32.52,1013.2,46.87,54.85,429.82,0.33
32.56,1013.21,46.98,54.85,429.82,0.33
32.57,1013.23,46.89,54.77,429.91,0.17